restock,policy,seed,deliveries,moves,conflicts,avg_wait
20,roundrobin,1026,31,1019,102,56.60606060606061
20,roundrobin,1027,27,933,156,59.93333333333333
20,roundrobin,1028,2,116,755,15.25
20,roundrobin,1029,24,880,205,76.53846153846153
20,roundrobin,1030,32,1017,98,61.54545454545455
20,roundrobin,1031,28,942,147,67.83333333333333
20,roundrobin,1032,32,986,119,60.78787878787879
20,roundrobin,1033,27,940,140,58.51724137931034
20,roundrobin,1034,31,1004,115,60.03030303030303
20,roundrobin,1035,28,961,138,70.16129032258064
20,roundrobin,1036,28,959,139,62.8
20,roundrobin,1037,12,588,421,57.214285714285715
20,roundrobin,1038,25,924,153,76.03571428571429
20,roundrobin,1039,17,672,326,75.14285714285714
20,roundrobin,1040,25,898,174,70.92857142857143
20,roundrobin,1041,22,746,301,49.833333333333336
20,roundrobin,1042,28,943,141,61.1
20,roundrobin,1043,28,963,132,61.0
20,roundrobin,1044,26,933,151,69.60714285714286
20,roundrobin,1045,16,566,425,54.44444444444444
20,roundrobin,1046,2,116,756,15.5
20,roundrobin,1047,29,933,151,64.83870967741936
20,roundrobin,1048,32,1027,89,59.74285714285714
20,roundrobin,1049,25,869,197,69.60714285714286
20,roundrobin,1050,27,873,177,70.82142857142857
20,roundrobin,1051,23,797,250,68.08
20,roundrobin,1052,34,1030,89,54.69444444444444
20,roundrobin,1053,26,916,150,70.88888888888889
20,roundrobin,1054,2,116,756,15.5
20,roundrobin,1055,32,986,124,59.44117647058823
20,roundrobin,1056,8,294,620,37.3
20,roundrobin,1057,27,884,175,60.57142857142857
20,roundrobin,1058,12,488,464,49.214285714285715
20,roundrobin,1059,25,889,178,70.62962962962963
20,roundrobin,1060,21,747,303,67.3913043478261
20,roundrobin,1061,16,558,430,54.05555555555556
20,roundrobin,1062,20,834,245,72.3913043478261
20,roundrobin,1063,31,977,128,59.09090909090909
20,roundrobin,1064,24,869,188,80.84
20,roundrobin,1065,27,934,140,58.5
20,roundrobin,1066,30,949,133,60.96774193548387
20,roundrobin,1067,27,907,169,61.07142857142857
20,roundrobin,1068,6,216,680,26.875
20,roundrobin,1069,32,988,126,62.09090909090909
20,roundrobin,1070,11,424,527,29.846153846153847
20,roundrobin,1071,18,586,418,46.0
20,roundrobin,1072,24,862,206,69.8076923076923
20,roundrobin,1073,30,991,121,59.6875
20,roundrobin,1074,25,834,225,68.23076923076923
20,roundrobin,1075,26,917,165,72.14285714285714
20,roundrobin,1076,29,972,120,58.87096774193548
20,roundrobin,1077,27,864,208,65.92857142857143
20,roundrobin,1078,27,928,165,64.58620689655173
20,roundrobin,1079,28,904,174,70.3
20,roundrobin,1080,2,116,755,15.25
20,roundrobin,1081,2,108,761,13.0
20,roundrobin,1082,25,868,205,69.81481481481481
20,roundrobin,1083,31,986,106,59.94117647058823
20,roundrobin,1084,21,744,302,58.78260869565217
20,roundrobin,1085,25,864,214,75.6896551724138
20,roundrobin,1086,28,925,170,58.806451612903224
20,roundrobin,1087,31,1020,94,59.48571428571429
20,roundrobin,1088,30,978,119,65.71875
20,roundrobin,1089,25,887,179,67.77777777777777
20,roundrobin,1090,26,874,199,59.07142857142857
20,roundrobin,1091,27,917,167,64.37931034482759
20,roundrobin,1092,17,572,409,50.31578947368421
20,roundrobin,1093,25,863,205,69.22222222222223
20,roundrobin,1094,25,870,181,70.44444444444444
20,roundrobin,1095,28,926,141,55.86206896551724
